,Query Path,length-before,length-after,ratio
0,../blocksworld/blocksworld_from_18_0_3_to_4_13_4_negated_goal_bmc_3.smt2,54,9442,174.85185185185185
1,../blocksworld/blocksworld_from_12_7_0_to_14_5_0_negated_goal_bmc_7.smt2,82,20108,245.21951219512195
2,../blocksworld/blocksworld_from_1_2_10_to_13_0_0_negated_goal_bmc_3.smt2,54,6511,120.57407407407408
3,../blocksworld/blocksworld_from_0_0_8_to_1_3_4_negated_goal_bmc_9.smt2,96,20032,208.66666666666666
4,../blocksworld/blocksworld_from_12_0_7_to_18_0_1_negated_goal_bmc_13.smt2,124,45860,369.83870967741933
5,../blocksworld/blocksworld_from_7_3_12_to_12_0_10_negated_goal_bmc_8.smt2,89,25214,283.30337078651684
6,../blocksworld/blocksworld_from_12_0_7_to_18_0_1_negated_goal_bmc_5.smt2,68,13828,203.35294117647058
7,../blocksworld/blocksworld_from_5_2_3_to_9_0_1_negated_goal_bmc_10.smt2,103,25101,243.6990291262136
8,../blocksworld/blocksworld_from_0_1_19_to_6_3_11_negated_goal_bmc_9.smt2,96,28195,293.6979166666667
9,../blocksworld/blocksworld_from_6_0_0_to_3_2_1_negated_goal_bmc_5.smt2,68,8537,125.54411764705883
10,../blocksworld/blocksworld_from_11_4_8_to_17_1_5_negated_goal_bmc_2.smt2,47,7892,167.91489361702128
11,../blocksworld/blocksworld_from_5_21_0_to_20_6_0_negated_goal_bmc_16.smt2,145,69729,480.88965517241377
12,../blocksworld/blocksworld_from_2_3_0_to_5_0_0_negated_goal_bmc_0.smt2,33,886,26.848484848484848
13,../blocksworld/blocksworld_from_1_9_5_to_13_2_0_negated_goal_bmc_16.smt2,145,58265,401.82758620689657
14,../blocksworld/blocksworld_from_1_5_5_to_1_1_9_negated_goal_bmc_20.smt2,173,79832,461.4566473988439
15,../blocksworld/blocksworld_from_0_18_5_to_17_0_6_negated_goal_bmc_12.smt2,117,43681,373.34188034188037
16,../blocksworld/blocksworld_from_0_4_7_to_4_4_3_negated_goal_bmc_19.smt2,166,72657,437.6927710843373
17,../blocksworld/blocksworld_from_4_4_4_to_1_0_11_negated_goal_bmc_22.smt2,187,94592,505.83957219251334
18,../blocksworld/blocksworld_from_22_0_2_to_9_12_3_negated_goal_bmc_18.smt2,159,79639,500.87421383647796
19,../blocksworld/blocksworld_from_8_6_9_to_13_1_9_negated_goal_bmc_21.smt2,180,101296,562.7555555555556
20,../blocksworld/blocksworld_from_12_1_0_to_11_1_1_negated_goal_bmc_13.smt2,124,40551,327.0241935483871
21,../blocksworld/blocksworld_from_18_5_3_to_18_1_7_negated_goal_bmc_2.smt2,47,8786,186.93617021276594
22,../blocksworld/blocksworld_from_6_3_5_to_9_4_1_negated_goal_bmc_10.smt2,103,27641,268.3592233009709
23,../blocksworld/blocksworld_from_1_1_7_to_3_0_6_negated_goal_bmc_3.smt2,54,5331,98.72222222222223
24,../blocksworld/blocksworld_from_5_7_5_to_8_8_1_negated_goal_bmc_21.smt2,180,93886,521.5888888888888
25,../blocksworld/blocksworld_from_20_2_0_to_8_7_7_negated_goal_bmc_6.smt2,75,18381,245.08
26,../blocksworld/blocksworld_from_5_1_10_to_4_9_3_negated_goal_bmc_3.smt2,54,7480,138.5185185185185
27,../blocksworld/blocksworld_from_4_19_1_to_0_8_16_negated_goal_bmc_22.smt2,187,110403,590.3903743315508
28,../blocksworld/blocksworld_from_12_1_0_to_1_12_0_negated_goal_bmc_10.smt2,103,27638,268.33009708737865
29,../blocksworld/blocksworld_from_9_4_4_to_14_1_2_negated_goal_bmc_3.smt2,54,7819,144.7962962962963
30,../blocksworld/blocksworld_from_9_10_3_to_1_0_21_negated_goal_bmc_14.smt2,131,53869,411.21374045801525
31,../blocksworld/blocksworld_from_20_0_0_to_17_2_1_negated_goal_bmc_10.smt2,103,32391,314.4757281553398
32,../blocksworld/blocksworld_from_2_12_9_to_0_10_13_negated_goal_bmc_4.smt2,61,12392,203.14754098360655
33,../blocksworld/blocksworld_from_13_0_1_to_11_0_3_negated_goal_bmc_21.smt2,180,90289,501.60555555555555
34,../blocksworld/blocksworld_from_4_4_3_to_4_3_4_negated_goal_bmc_6.smt2,75,12805,170.73333333333332
35,../blocksworld/blocksworld_from_0_7_3_to_8_1_1_negated_goal_bmc_8.smt2,89,18577,208.73033707865167
36,../blocksworld/blocksworld_from_9_7_0_to_9_6_1_negated_goal_bmc_9.smt2,96,25623,266.90625
37,../blocksworld/blocksworld_from_1_1_0_to_1_0_1_negated_goal_bmc_1.smt2,40,1217,30.425
38,../blocksworld/blocksworld_from_10_5_6_to_13_6_2_negated_goal_bmc_9.smt2,96,28858,300.6041666666667
39,../blocksworld/blocksworld_from_4_2_8_to_7_1_6_negated_goal_bmc_19.smt2,166,74265,447.37951807228916
40,../blocksworld/blocksworld_from_20_2_0_to_13_2_7_negated_goal_bmc_27.smt2,222,150849,679.5
41,../blocksworld/blocksworld_from_2_12_9_to_0_10_13_negated_goal_bmc_15.smt2,138,59604,431.9130434782609
42,../blocksworld/blocksworld_from_15_6_4_to_10_2_13_negated_goal_bmc_29.smt2,236,173378,734.6525423728814
43,../blocksworld/blocksworld_from_7_0_15_to_7_2_13_negated_goal_bmc_29.smt2,236,170089,720.7161016949152
44,../blocksworld/blocksworld_from_1_24_0_to_9_16_0_negated_goal_bmc_18.smt2,159,81319,511.44025157232704
45,../blocksworld/blocksworld_from_16_7_3_to_16_0_10_negated_goal_bmc_18.smt2,159,83017,522.1194968553459
46,../blocksworld/blocksworld_from_4_16_3_to_5_0_18_negated_goal_bmc_18.smt2,159,78528,493.8867924528302
47,../blocksworld/blocksworld_from_1_14_5_to_17_3_0_negated_goal_bmc_28.smt2,229,156384,682.8995633187773
48,../blocksworld/blocksworld_from_11_0_0_to_6_4_1_negated_goal_bmc_1.smt2,40,2844,71.1
49,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_17.smt2,152,76229,501.50657894736844
50,../blocksworld/blocksworld_from_5_4_17_to_12_6_8_negated_goal_bmc_16.smt2,145,69729,480.88965517241377
51,../blocksworld/blocksworld_from_3_4_6_to_1_9_3_negated_goal_bmc_1.smt2,40,3159,78.975
52,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_7.smt2,82,24189,294.9878048780488
53,../blocksworld/blocksworld_from_8_10_1_to_5_9_5_negated_goal_bmc_16.smt2,145,62624,431.88965517241377
54,../blocksworld/blocksworld_from_18_1_7_to_7_17_2_negated_goal_bmc_31.smt2,250,196590,786.36
55,../blocksworld/blocksworld_from_8_2_1_to_10_1_0_negated_goal_bmc_8.smt2,89,18845,211.74157303370785
56,../blocksworld/blocksworld_from_1_2_10_to_13_0_0_negated_goal_bmc_9.smt2,96,23479,244.57291666666666
57,../blocksworld/blocksworld_from_5_9_3_to_13_1_3_negated_goal_bmc_31.smt2,250,181926,727.704
58,../blocksworld/blocksworld_from_4_2_8_to_7_1_6_negated_goal_bmc_17.smt2,152,61745,406.2171052631579
59,../blocksworld/blocksworld_from_4_19_1_to_0_8_16_negated_goal_bmc_26.smt2,215,144659,672.8325581395349
60,../blocksworld/blocksworld_from_13_1_5_to_8_4_7_negated_goal_bmc_2.smt2,47,6413,136.4468085106383
61,../blocksworld/blocksworld_from_0_9_0_to_1_6_2_negated_goal_bmc_8.smt2,89,18050,202.80898876404495
62,../blocksworld/blocksworld_from_5_3_8_to_14_1_1_negated_goal_bmc_10.smt2,103,28959,281.15533980582524
63,../blocksworld/blocksworld_from_17_2_1_to_19_1_0_negated_goal_bmc_15.smt2,138,57691,418.0507246376812
64,../blocksworld/blocksworld_from_4_1_2_to_4_2_1_negated_goal_bmc_0.smt2,33,1000,30.303030303030305
65,../blocksworld/blocksworld_from_17_0_1_to_1_10_7_negated_goal_bmc_3.smt2,54,8166,151.22222222222223
