,Query Path,length-before,length-after,ratio
0,../QF_DT2/20210312-Bouvier/vlsat3_b10.smt2,1488,1589,1.0678763440860215
1,../QF_DT2/20210312-Bouvier/vlsat3_b40.smt2,432,504,1.1666666666666667
2,../QF_DT2/20210312-Bouvier/vlsat3_b23.smt2,6084,6226,1.0233399079552925
3,../QF_DT2/20210312-Bouvier/vlsat3_b12.smt2,7000,7165,1.0235714285714286
4,../QF_DT2/20210312-Bouvier/vlsat3_b16.smt2,8588,8810,1.0258500232883092
5,../QF_DT2/20210312-Bouvier/vlsat3_b71.smt2,9543,9715,1.0180236822802053
6,../QF_DT2/20210312-Bouvier/vlsat3_h02.smt2,9643,10129,1.0503992533443949
7,../QF_DT2/20210312-Bouvier/vlsat3_h22.smt2,10485,10866,1.036337625178827
8,../QF_DT2/20210312-Bouvier/vlsat3_b35.smt2,3930,4081,1.0384223918575064
9,../QF_DT2/20210312-Bouvier/vlsat3_b06.smt2,9349,9537,1.0201091025778157
10,../QF_DT2/20210312-Bouvier/vlsat3_b58.smt2,16835,17121,1.016988416988417
11,../QF_DT2/20210312-Bouvier/vlsat3_h20.smt2,17712,18045,1.01880081300813
12,../QF_DT2/20210312-Bouvier/vlsat3_b07.smt2,1142,1247,1.0919439579684764
13,../QF_DT2/20210312-Bouvier/vlsat3_h25.smt2,18738,19071,1.0177713736791547
14,../QF_DT2/20210312-Bouvier/vlsat3_b54.smt2,18913,19203,1.0153333685824566
15,../QF_DT2/20210312-Bouvier/vlsat3_h26.smt2,10981,11270,1.026318185957563
16,../QF_DT2/20210312-Bouvier/vlsat3_h64.smt2,21447,21819,1.0173450832284237
17,../QF_DT2/20210312-Bouvier/vlsat3_b00.smt2,1487,1585,1.065904505716207
18,../QF_DT2/20210312-Bouvier/vlsat3_h92.smt2,21441,21795,1.0165104239541065
19,../QF_DT2/20210312-Bouvier/vlsat3_b57.smt2,5148,5348,1.0388500388500388
20,../QF_DT2/20210312-Bouvier/vlsat3_b43.smt2,16153,16424,1.0167770692750573
21,../QF_DT2/20210312-Bouvier/vlsat3_b82.smt2,23721,23984,1.0110872222924834
22,../QF_DT2/20210312-Bouvier/vlsat3_b36.smt2,5018,5175,1.0312873654842567
23,../QF_DT2/20210312-Bouvier/vlsat3_h43.smt2,23778,24124,1.0145512658760198
24,../QF_DT2/20210312-Bouvier/vlsat3_h52.smt2,16174,16508,1.0206504266106096
25,../QF_DT2/20210312-Bouvier/vlsat3_h84.smt2,11305,11662,1.0315789473684212
26,../QF_DT2/20210312-Bouvier/vlsat3_h68.smt2,21446,21815,1.017206005781964
27,../QF_DT2/20210312-Bouvier/vlsat3_b09.smt2,25681,25936,1.0099295198785094
28,../QF_DT2/20210312-Bouvier/vlsat3_b49.smt2,1143,1251,1.094488188976378
29,../QF_DT2/20210312-Bouvier/vlsat3_b08.smt2,6356,6544,1.0295783511642542
30,../QF_DT2/20210312-Bouvier/vlsat3_b94.smt2,1122,1257,1.1203208556149733
31,../QF_DT2/20210312-Bouvier/vlsat3_b38.smt2,23760,24052,1.0122895622895622
32,../QF_DT2/20210312-Bouvier/vlsat3_b17.smt2,9350,9541,1.020427807486631
33,../QF_DT2/20210312-Bouvier/vlsat3_b22.smt2,5036,5200,1.0325655281969817
34,../QF_DT2/20210312-Bouvier/vlsat3_h21.smt2,21450,21831,1.0177622377622377
35,../QF_DT2/20210312-Bouvier/vlsat3_b30.smt2,13192,13386,1.0147058823529411
36,../QF_DT2/20210312-Bouvier/vlsat3_b44.smt2,25682,25940,1.0100459465773695
37,../QF_DT2/20210312-Bouvier/vlsat3_h36.smt2,23805,24407,1.0252888048729258
38,../QF_DT2/20210312-Bouvier/vlsat3_b26.smt2,15865,16124,1.0163252442483455
39,../QF_DT2/20210312-Bouvier/vlsat3_b48.smt2,26567,26907,1.012797831896714
40,../QF_DT2/20210312-Bouvier/vlsat3_h65.smt2,32923,33567,1.0195607933663395
41,../QF_DT2/20210312-Bouvier/vlsat3_h53.smt2,23944,24267,1.0134898095556297
42,../QF_DT2/20210312-Bouvier/vlsat3_h42.smt2,9302,9595,1.0314986024510857
43,../QF_DT2/20210312-Bouvier/vlsat3_h48.smt2,17225,17576,1.020377358490566
44,../QF_DT2/20210312-Bouvier/vlsat3_b78.smt2,35173,35490,1.0090125948881243
45,../QF_DT2/20210312-Bouvier/vlsat3_h27.smt2,37392,38154,1.0203786906290115
46,../QF_DT2/20210312-Bouvier/vlsat3_h67.smt2,49538,50577,1.0209737978925268
47,../QF_DT2/20210312-Bouvier/vlsat3_h38.smt2,45641,46179,1.0117876470717118
48,../QF_DT2/20210312-Bouvier/vlsat3_b14.smt2,3075,3200,1.0406504065040652
49,../QF_DT2/20210312-Bouvier/vlsat3_h35.smt2,37719,38586,1.0229857631432435
50,../QF_DT2/20210312-Bouvier/vlsat3_b61.smt2,2648,2775,1.0479607250755287
51,../QF_DT2/20210312-Bouvier/vlsat3_h54.smt2,14389,14687,1.0207102647856001
52,../QF_DT2/20210312-Bouvier/vlsat3_b67.smt2,8097,8291,1.023959491169569
53,../QF_DT2/20210312-Bouvier/vlsat3_h33.smt2,11293,11612,1.028247587000797
54,../QF_DT2/20210312-Bouvier/vlsat3_b20.smt2,1939,2037,1.0505415162454874
55,../QF_DT2/20210312-Bouvier/vlsat3_b65.smt2,9959,10135,1.0176724570740034
56,../QF_DT2/20210312-Bouvier/vlsat3_b47.smt2,9066,9275,1.0230531656739466
57,../QF_DT2/20210312-Bouvier/vlsat3_h16.smt2,12280,12554,1.022312703583062
58,../QF_DT2/20210312-Bouvier/vlsat3_h14.smt2,16271,16719,1.0275336488230595
59,../QF_DT2/20210312-Bouvier/vlsat3_h10.smt2,19052,19759,1.0371089649380643
60,../QF_DT2/20210312-Bouvier/vlsat3_b50.smt2,1927,2034,1.0555267254800207
61,../QF_DT2/20210312-Bouvier/vlsat3_b68.smt2,18462,18761,1.0161954284476222
62,../QF_DT2/20210312-Bouvier/vlsat3_h06.smt2,19763,20347,1.0295501695086777
63,../QF_DT2/20210312-Bouvier/vlsat3_b52.smt2,8680,8894,1.0246543778801844
