,Query Path,SAT/UNSAT,Depths,algaroba with pause based on depth
0,../blocksworld/blocksworld_from_0_0_8_to_1_3_4_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 135, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H: 27, Record_left_center_right: 14, }",0.027067899703979492
1,../blocksworld/blocksworld_from_18_0_3_to_4_13_4_negated_goal_bmc_3.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 92, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 8, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U: 9, }",0.03812289237976074
2,../blocksworld/blocksworld_from_7_3_12_to_12_0_10_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 153, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 13, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V: 24, }",0.038007497787475586
3,../blocksworld/blocksworld_from_0_1_19_to_6_3_11_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 162, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T: 27, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 14, }",0.03943753242492676
4,../blocksworld/blocksworld_from_2_3_0_to_5_0_0_negated_goal_bmc_0.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 24, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E: 0, Record_left_center_right: 5, }",0.03883004188537598
5,../blocksworld/blocksworld_from_12_0_7_to_18_0_1_negated_goal_bmc_5.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 112, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 15, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 10, }",0.040204524993896484
6,../blocksworld/blocksworld_from_11_4_8_to_17_1_5_negated_goal_bmc_2.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 84, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 6, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 7, }",0.0424497127532959
7,../blocksworld/blocksworld_from_12_7_0_to_14_5_0_negated_goal_bmc_7.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 136, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 21, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 12, }",0.04309654235839844
8,../blocksworld/blocksworld_from_1_9_5_to_13_2_0_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 235, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O: 48, Record_left_center_right: 21, }",0.042391061782836914
9,../blocksworld/blocksworld_from_6_0_0_to_3_2_1_negated_goal_bmc_5.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 86, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F: 15, Record_left_center_right: 10, }",0.04580330848693848
